55.042550,73.261080,cross entuziastov
55.042922, 73.260821, neftezavodskaya
55.043090, 73.260819
55.043180, 73.260808
55.043393, 73.260756
55.043502, 73.260723
55.043887, 73.260593
55.044083, 73.260513
55.045036, 73.260197
55.045704, 73.259979
55.047119, 73.259526
55.048978, 73.258890
55.050554, 73.258254
55.050732, 73.258191
55.051981, 73.257735
55.052188, 73.257625
55.052251, 73.257580
55.052415, 73.257486
55.053291, 73.256886
55.054152, 73.256211
55.056088, 73.254692
55.056431, 73.254414
55.056588, 73.254277
55.057722, 73.253396
55.058366, 73.252836
55.058499, 73.252716
55.058611, 73.252704
55.058692, 73.252678
55.058772, 73.252683
55.058838, 73.252705
55.058896, 73.252734
55.058958, 73.252793
55.059060, 73.252924
55.059111, 73.253010
55.059179, 73.253171
55.059353, 73.253947
55.059436, 73.254284
55.059678, 73.255204
55.059818, 73.255421
55.059926, 73.255562
55.060016, 73.255626
55.060112, 73.255658
55.060158, 73.255679
55.060245, 73.255685
55.060479, 73.255558
55.060577, 73.255484
55.061194, 73.255014
55.061358, 73.254911
55.061566, 73.254773
55.061666, 73.254656
55.061729, 73.254550
55.061755, 73.254501
55.061767, 73.254406
55.061758, 73.254276
55.061736, 73.254136, cross gubkina
55.061629, 73.253723
55.061481, 73.253158
55.061175, 73.251977
55.061000, 73.251306
55.060925, 73.250984
55.060891, 73.250863
55.060855, 73.250758
55.060824, 73.250703
55.060794, 73.250671
55.060751, 73.250645
55.060707, 73.250627
55.060680, 73.250631
55.060653, 73.250641
55.060016, 73.251073
55.059038, 73.251919
55.057584, 73.253013
55.056482, 73.253901
55.056169, 73.254158
55.055577, 73.254613
55.054637, 73.255345
55.054341, 73.255576
55.054024, 73.255841
55.053571, 73.256199
55.053190, 73.256501
55.052140, 73.257238
55.051873, 73.257386
55.051536, 73.257539
55.050690, 73.257823
55.050039, 73.258070
55.049396, 73.258321
55.048937, 73.258500
55.048046, 73.258800
55.047068, 73.259114
55.043970, 73.260127
55.043554, 73.260283
55.043299, 73.260411
55.043114, 73.260519
55.043051, 73.260581
55.042550,73.261080
55.042550,73.261080,cross entuziastov2
